Epoch,Train_Acc,Val_Acc,D_Loss,G_Loss,Val_Loss
1,0.22905759162303665,0.1875,0.8446024091293415,5.70688475171725,1.3933244943618774
2,0.6191099476439791,0.578125,0.6126546300947666,5.474253018697103,0.7577277223269144
3,0.8664921465968587,0.828125,0.5507267452776432,4.563288728396098,0.37719307839870453
4,0.581151832460733,0.5416666666666666,0.5590052548795938,4.7391475439071655,0.7224556008974711
5,0.9201570680628273,0.90625,0.5459211313476166,4.4918713221947355,0.21428892761468887
6,0.6884816753926701,0.6927083333333334,0.587354738265276,4.491675555706024,0.6259030997753143
7,0.9201570680628273,0.9114583333333334,0.6742119267582893,4.626950641473134,0.2858535051345825
8,0.4397905759162304,0.4375,0.48526148063441116,4.41148379445076,1.173761526743571
9,0.7958115183246073,0.7604166666666666,0.40304305652777356,4.572903960943222,0.6388292660315832
10,0.7670157068062827,0.703125,0.4653419405221939,4.733354285359383,0.6676422456900278
11,0.4489528795811518,0.4114583333333333,0.48519711506863433,4.769249776999156,1.3063239455223083
12,0.918848167539267,0.875,0.3275292639931043,4.166721393664678,0.3719656964143117
13,0.806282722513089,0.78125,0.35166315734386444,4.658887977401416,0.6466204623381296
14,0.8272251308900523,0.7916666666666666,0.3619684800505638,4.867019881804784,0.5624737739562988
15,0.8232984293193717,0.8229166666666666,0.4676043950021267,4.5946986079216,0.5164474447568258
16,0.75,0.6197916666666666,0.3346017474929492,4.396198004484177,0.7203969756762186
17,0.9070680628272252,0.8645833333333334,0.23005595927437147,3.4846988221009574,0.3923027589917183
18,0.8638743455497382,0.8020833333333334,0.2447554220755895,3.4994360307852426,0.4559485961993535
19,0.9476439790575916,0.9322916666666666,0.2822378935913245,3.3043096363544464,0.288397212823232
20,0.8520942408376964,0.8072916666666666,0.24394724983721972,3.5898240904013314,0.5022967855135599
21,0.9018324607329843,0.84375,0.2071007862687111,3.6651540199915567,0.41014762222766876
22,0.918848167539267,0.8802083333333334,0.2052537047614654,3.8389444102843604,0.33774394790331524
23,0.930628272251309,0.8958333333333334,0.2028359780088067,4.0107462505499525,0.3727709949016571
24,0.9554973821989529,0.9375,0.20740022665510574,3.801828304926554,0.22617041071256003
25,0.9424083769633508,0.8958333333333334,0.1654571434482932,3.926315595706304,0.2797391439477603
26,0.9031413612565445,0.8802083333333334,0.46187465575834113,4.309716521451871,0.33536963909864426
27,0.8350785340314136,0.828125,0.20484973614414534,3.8790162603060403,0.5252848366896311
28,0.9515706806282722,0.9322916666666666,0.16027166042476892,3.1895940601825714,0.2856690113743146
29,0.9175392670157068,0.875,0.18293722284336886,3.3603854974110923,0.35214155664046604
30,0.9332460732984293,0.9166666666666666,0.1736622198174397,3.4028005997339883,0.3234175120790799
